Description;Category;Service
AC mengeluarkan suara aneh saat dinyalakan;AC;Maintenance
Perlu instalasi sistem interkom di rumah;Electrical;Instalasi
Pemanas air di kamar mandi bocor, perlu diperbaiki;Plumbing;Repair
Printer tidak terdeteksi oleh komputer, butuh perbaikan;Computer;Repair
Lampu di garasi sering mati sendiri, perlu dicek;Electrical;Repair
Mesin cuci perlu diservis, tidak mencuci dengan bersih;Mesin Cuci;Maintenance
Kulkas butuh pengisian freon, tidak dingin;Kulkas;Maintenance
Perlu instalasi kamera CCTV di pintu depan;Electrical;Instalasi
Microwave tidak berputar, perlu diperbaiki;Microwave;Repair
Komputer tidak bisa booting, butuh diperbaiki;Computer;Repair
Perlu instalasi lampu LED di ruang tamu;Electrical;Instalasi
AC perlu pembersihan rutin, sudah lama tidak dibersihkan;AC;Maintenance
Mesin cuci butuh penggantian sabuk;Mesin Cuci;Repair
Komputer butuh penggantian power supply;Computer;Repair
Toilet mengeluarkan bau tidak sedap, perlu diperbaiki;Plumbing;Repair
Perlu instalasi stop kontak tambahan di ruang tamu;Electrical;Instalasi
AC tidak bisa diatur suhunya, perlu diperbaiki;AC;Repair
Mesin cuci tidak mengeluarkan air saat mencuci;Mesin Cuci;Repair
Perlu instalasi jaringan LAN di kantor rumah;Electrical;Instalasi
Komputer sering hang, mungkin perlu perbaikan;Computer;Repair
Kulkas tidak bisa membuat es, perlu diperbaiki;Kulkas;Repair
Pemanas ruangan perlu penggantian elemen pemanas;Heating;Repair
Perlu instalasi sistem pencahayaan pintar;Electrical;Instalasi
Perlu maintenance rutin untuk kipas angin;Appliances;Maintenance
Perlu instalasi kabel HDMI baru;Electrical;Instalasi
Mesin cuci mengeluarkan bau tidak sedap, perlu dibersihkan;Mesin Cuci;Maintenance
Lampu di halaman belakang tidak menyala, perlu diperbaiki;Electrical;Repair
Perlu instalasi sistem audio di ruang keluarga;Electrical;Instalasi
AC di ruang tamu tidak dingin, perlu diperbaiki;AC;Repair
Perlu penggantian filter air di dispenser;Appliances;Maintenance
Printer mengeluarkan suara aneh saat mencetak;Computer;Repair
Perlu instalasi kipas angin di kamar anak;Electrical;Instalasi
Kulkas tidak bisa menutup rapat, perlu diperbaiki;Kulkas;Repair
Mesin cuci perlu penggantian motor;Mesin Cuci;Repair
Perlu instalasi lampu taman di halaman depan;Electrical;Instalasi
Komputer butuh upgrade kartu grafis;Computer;Maintenance
Perlu maintenance rutin untuk pemanas air;Plumbing;Maintenance
Mesin cuci tidak mengisi air, perlu diperbaiki;Mesin Cuci;Repair
AC mengeluarkan bau apek, perlu diperiksa;AC;Maintenance
Perlu instalasi speaker tambahan di ruang tamu;Electrical;Instalasi
Perlu penggantian kabel power untuk komputer;Electrical;Repair
Lampu di lorong rumah sering mati, perlu diperbaiki;Electrical;Repair
Komputer butuh penggantian motherboard;Computer;Repair
Mesin cuci tidak mengeluarkan air saat proses pengeringan;Mesin Cuci;Repair
Perlu instalasi pemanas ruangan di kamar tidur;Heating;Instalasi
Microwave tidak berfungsi, butuh diperbaiki;Microwave;Repair
Perlu instalasi Wi-Fi router baru;Electrical;Instalasi
Kabel TV di ruang keluarga rusak, perlu diganti;Electrical;Repair
Printer tidak bisa mencetak, butuh perbaikan;Computer;Repair
Sakelar lampu di dapur rusak, perlu perbaikan;Electrical;Repair
Pintu mesin cuci tidak bisa terkunci;Mesin Cuci;Repair
Pemanas ruangan tidak bekerja, butuh perbaikan;Heating;Repair
Lampu LED di taman perlu instalasi;Electrical;Instalasi
Dispenser air bocor, perlu diperbaiki;Plumbing;Repair
Komputer lambat, butuh upgrade RAM;Computer;Maintenance
Perlu instalasi AC baru di ruang tamu;AC;Instalasi
Mesin cuci tidak bisa membilas, butuh perbaikan;Mesin Cuci;Repair
Pengering rambut rusak, perlu diperbaiki;Appliances;Repair
Lampu di teras tidak menyala, butuh perbaikan;Electrical;Repair
Perlu instalasi stop kontak tambahan di kamar tidur;Electrical;Instalasi
Kipas angin tidak berputar, perlu diperbaiki;Appliances;Repair
Toilet terus mengalirkan air, perlu perbaikan;Plumbing;Repair
Perlu instalasi kabel jaringan baru untuk komputer;Electrical;Instalasi
AC bocor, perlu diperbaiki;AC;Repair
Mesin cuci berisik saat digunakan, butuh perbaikan;Mesin Cuci;Repair
Komputer butuh instalasi antivirus baru;Computer;Instalasi
Pintu oven tidak bisa tertutup rapat, perlu perbaikan;Appliances;Repair
Kulkas mengeluarkan bau tidak sedap, perlu dibersihkan;Kulkas;Maintenance
Lampu gantung di ruang makan rusak, butuh perbaikan;Electrical;Repair
Perlu instalasi speaker baru untuk home theater;Electrical;Instalasi
Sistem pemanas air perlu pemeriksaan rutin;Plumbing;Maintenance
Perlu instalasi kamera keamanan di halaman belakang;Electrical;Instalasi
Pintu kulkas tidak bisa tertutup rapat, perlu perbaikan;Kulkas;Repair
Layar laptop retak, butuh penggantian;Computer;Repair
Perlu instalasi panel surya di atap;Electrical;Instalasi
Vacuum cleaner tidak menyala, perlu diperbaiki;Appliances;Repair
Microwave mengeluarkan suara aneh, butuh diperiksa;Microwave;Maintenance
Perlu instalasi lampu hias di ruang tamu;Electrical;Instalasi
AC tidak bisa dinyalakan, perlu diperbaiki;AC;Repair
Perlu maintenance rutin untuk dispenser air;Appliances;Maintenance
Mesin cuci perlu instalasi di rumah baru;Mesin Cuci;Instalasi
Laptop lambat, perlu instalasi ulang sistem operasi;Computer;Instalasi
Perlu instalasi sistem audio baru di mobil;Electrical;Instalasi
Pintu mesin cuci tidak bisa dibuka setelah selesai mencuci;Mesin Cuci;Repair
Pemanas ruangan berisik, butuh perbaikan;Heating;Repair
Kulkas berair di bagian bawah, perlu perbaikan;Kulkas;Repair
Kipas angin butuh maintenance rutin;Appliances;Maintenance
Lampu di kamar mandi redup, perlu diganti;Electrical;Repair
Perlu instalasi stop kontak baru di dapur;Electrical;Instalasi
Printer kertas sering macet, butuh diperbaiki;Computer;Repair
Perlu instalasi TV baru di ruang keluarga;Electrical;Instalasi
Mesin cuci tidak mengeringkan pakaian dengan baik;Mesin Cuci;Repair
Kulkas perlu maintenance rutin;Kulkas;Maintenance
Perlu instalasi sistem alarm kebakaran;Electrical;Instalasi
Perlu maintenance rutin untuk sistem pemanas air;Plumbing;Maintenance
