Sentence-Category-Solution;
The bathtub faucet is leaking at the base and needs to be tightened or have new washers installed.-Plumbing-Repair;
 indicating potential failure. It needs to be backed up and replaced.-Computer-Repair;
The washing machine is not filling with water properly. The water inlet valve or hoses may need to be replaced.-Washer-Repair;
The refrigerator's ice maker is producing hollow or small ice cubes. The water filter may need to be replaced.-Refrigerator-Maintenance;
A new electrical panel needs to be installed to accommodate the addition of solar panels to the home.-Electricity-Installation;
A new energy-efficient central air conditioning system needs to be installed in the newly renovated home.-Air Conditioner-Installation;
The plumbing lines need to be re-routed and new pipes installed during the kitchen remodel.-Plumbing-Installation;
A new high-performance gaming desktop needs to be built with the latest components and liquid cooling system.-Computer-Installation;
A new stackable washer and dryer unit needs to be installed in the small laundry closet.-Washer;
A new counter-depth refrigerator with a built-in water and ice dispenser needs to be installed in the kitchen.-Refrigerator-Installation;
The outdoor lighting system is not turning on at all and the wiring needs to be inspected for breaks or shorts.-Electricity-Repair;
The air conditioning unit is not cooling properly and may need to have the refrigerant levels recharged.-Air Conditioner-Maintenance;
The bathroom sink is slow to drain indicating a potential clog in the drain line that needs to be cleared.-Plumbing-Maintenance;
The laptop's touchpad is not responding correctly and needs to be calibrated or replaced.-Computer-Repair;
The washing machine is not agitating or spinning during the cycle. The motor or transmission may need to be repaired.-Washer-Repair;
The refrigerator is making loud buzzing or humming noises indicating a potential issue with the compressor.-Refrigerator-Repair;
The electrical wiring in the basement needs to be updated to meet current safety codes and standards.-Electricity-Installation;
The air conditioning system needs to have its thermostat recalibrated for accurate temperature readings.-Air Conditioner-Maintenance;
The water softener system needs to have its salt levels replenished and the unit cleaned for optimal performance.-Plumbing-Maintenance;
The computer's graphics card is not displaying properly and may need to be replaced or have drivers updated.-Computer-Repair;
The washing machine is not draining water properly causing flooding and potential water damage.-Washer-Repair;
The refrigerator door gasket is worn and needs to be replaced to prevent cold air from escaping.-Refrigerator-Repair;
The outdoor lighting system needs to have new energy-efficient LED bulbs installed to reduce energy consumption.-Electricity-Installation;
The air conditioning unit's condenser coils need to be cleaned to improve efficiency and air flow.-Air Conditioner-Maintenance;
